t,phi,theta,psi
42.18340182,-2.72692158,-0.572026241,-2.936676463
42.28307438,-2.705358484,-0.60203591,-2.943886395
42.38261533,-2.717913972,-0.587173646,-2.944163169
42.48234463,-2.745505656,-0.521506331,-2.95198913
42.5821209,-2.758860397,-0.495046831,-2.954343341
42.68162799,-2.778681005,-0.476823701,-2.950292248
42.78125739,-2.794877062,-0.469975195,-2.94323391
42.88115621,-2.80139555,-0.475805073,-2.936704369
42.98061633,-2.808219192,-0.466458525,-2.936570698
43.08026934,-2.826379492,-0.436410716,-2.940139223
43.17985153,-2.848125974,-0.398644285,-2.941937467
43.27958512,-2.586883785,-0.774631909,-2.990546083
43.37926531,-2.335108663,-1.570796327,-3.026591219
43.47887206,-2.119243884,-1.570796327,-3.074999095
43.57854056,-1.981965003,-1.570796327,-3.10259259
43.67826605,-1.938969172,-1.570796327,-3.110463394
43.77782011,-1.915532473,-1.570796327,-3.114106092
43.87750316,-1.902648666,-1.570796327,-3.117462523
43.97706461,-1.902353062,-1.570796327,-3.115729413
44.07679367,-1.89904198,-1.570796327,-3.115339001
44.17645311,-1.902486423,-1.570796327,-3.116391125
44.27598548,-1.898989398,-1.570796327,-3.120410746
44.37572432,-1.897650535,-1.570796327,-3.121277546
44.47542548,-1.898102997,-1.570796327,-3.12131553
44.57502723,-1.902104608,-1.570796327,-3.120667878
44.67466021,-1.897998,-1.570796327,-3.121236353
44.77446365,-1.919553219,-1.570796327,-3.118453839
44.87397957,-1.927607528,-1.570796327,-3.117035999
44.97360229,-1.911266025,-1.570796327,-3.119155015
45.07346416,-1.94675089,-1.570796327,-3.112078231
45.17293525,-2.005579995,-1.570796327,-3.102562115
45.27265501,-2.112171274,-1.570796327,-3.083543899
45.37225366,-2.320013726,-1.570796327,-3.037932027
45.47189379,-2.574535838,-1.063590385,-2.975660557
45.57157636,-2.860790911,-0.391582406,-2.940598286
45.67112136,-3.113685992,-0.035311915,-2.935434256
45.77092671,3.026035879,0.14339905,-2.938675654
45.87057328,2.923478863,0.309122505,-2.923478863
45.97017264,2.853638936,0.425517257,-2.92779852
46.06969738,2.817731562,0.466458525,-2.94204488
46.16938257,2.80617998,0.536887319,-2.927105566
46.26905441,2.798604622,0.544560076,-2.931631931
46.36876321,2.743747824,0.643044497,-2.947801839
46.46830273,2.695397845,0.738937198,-2.952854682
46.56816459,2.676053069,0.802371569,-2.948551843
46.66771913,2.653198431,0.886923337,-2.945882121
46.76733255,2.636167142,1.024687236,-2.939919638
46.86692953,2.623376642,1.083324047,-2.943395695
46.96671844,2.606717597,1.082037172,-2.954452032
47.06626415,2.591467159,1.168314194,-2.959047949
47.16594505,2.592072673,1.200004759,-2.95673055
47.26576066,2.615741319,1.570796327,-2.921435211
47.36524034,2.619412591,1.570796327,-2.916177805
47.46495605,2.606561481,1.570796327,-2.927420994
47.56456399,2.597695827,1.570796327,-2.934605954
47.66419554,2.5771235,1.570796327,-2.935540966
47.76392436,2.60624236,1.570796327,-2.908561951
47.86347508,2.654164348,1.570796327,-2.890607509
47.96318531,2.675572941,1.570796327,-2.879663645
48.0629437,2.610874802,1.570796327,-2.91993753
48.16246295,2.593291408,1.570796327,-2.924739374
48.26217628,2.583655988,1.570796327,-2.9306687
48.36191273,2.579267743,1.570796327,-2.935421425
48.46129894,2.58003953,1.570796327,-2.936725866
48.5611887,2.572902235,1.570796327,-2.940096581
48.66071296,2.568902203,1.570796327,-2.951972696
48.76035523,2.55348468,1.570796327,-2.956302182
48.860116,2.546890676,1.570796327,-2.963132096
48.95968699,2.523576399,1.570796327,-2.964160707
49.05934381,2.531371511,1.570796327,-2.963541355
49.15907431,2.533896947,1.570796327,-2.982800648
49.25868177,2.429722259,1.570796327,-3.002567729
49.35836315,2.225720598,1.570796327,-3.051809309
49.45806742,2.120744742,1.570796327,-3.080120243
49.55761695,2.07496547,1.570796327,-3.085369058
49.65725851,2.045764737,1.570796327,-3.088793875
